tagName,count
javascript,249896
python,191872
java,174335
php,141324
android,135433
c#,131289
html,117080
jquery,92200
css,77926
ios,66020
mysql,62888
c++,61976
sql,55554
angular,53974
node.js,50979
r,50976
swift,48383
arrays,43141
json,40565
angularjs,37640
sql-server,34448
reactjs,34366
excel,33624
python-3.x,32435
c,30567
vba,26088
django,25879
laravel,24901
asp.net,24401
ruby-on-rails,24198
pandas,23184
spring,23184
ajax,22056
typescript,21966
regex,21644
wordpress,21398
linux,20834
firebase,19964
asp.net-mvc,18605
xml,18383
.net,18237
python-2.7,17351
ruby,17305
mongodb,17039
database,16294
bash,16020
postgresql,15749
amazon-web-services,15479
string,15450
twitter-bootstrap,14221
git,14169
oracle,13933
azure,13821
scala,13630
windows,13440
react-native,13338
docker,13185
objective-c,13097
tensorflow,13038
spring-boot,13026
xcode,12597
apache-spark,12299
visual-studio,12282
wpf,12108
multithreading,11884
list,11776
numpy,11762
selenium,11661
powershell,11585
dataframe,11064
swift3,10981
csv,10696
vb.net,10253
algorithm,10200
rest,9848
maven,9588
forms,9577
firebase-realtime-database,9515
macos,9469
matlab,9412
express,9347
function,9271
android-studio,9111
apache,9065
shell,9064
xamarin,9064
api,8833
hibernate,8756
image,8714
vue.js,8615
loops,8578
symfony,8432
laravel-5,8360
ionic-framework,8317
eclipse,8316
entity-framework,8267
sqlite,8217
unit-testing,8131
webpack,8047
qt,7996
asp.net-core,7789
performance,7706
unity3d,7609
dictionary,7597
codeigniter,7509
sorting,7239
google-maps,7133
google-chrome,7124
ionic2,7118
elasticsearch,7112
date,7101
go,7051
opencv,6922
matplotlib,6919
jenkins,6913
spring-mvc,6781
machine-learning,6776
winforms,6765
.htaccess,6659
linq,6575
c++11,6532
for-loop,6485
file,6482
ubuntu,6276
cordova,6169
tsql,6156
http,6079
nginx,6064
datetime,5978
redux,5939
class,5916
ecmascript-6,5907
sockets,5866
email,5839
uitableview,5830
batch-file,5816
ms-access,5781
android-layout,5740
xamarin.forms,5707
selenium-webdriver,5675
npm,5619
ssl,5574
gradle,5573
xaml,5512
hadoop,5503
if-statement,5476
facebook,5444
javafx,5392
listview,5358
iphone,5347
android-fragments,5334
object,5331
validation,5303
intellij-idea,5241
vuejs2,5234
uwp,5158
github,5114
visual-studio-2017,5110
asynchronous,5106
pdf,5075
amazon-s3,5062
ggplot2,5056
swing,5026
kotlin,5015
d3.js,4931
authentication,4823
haskell,4770
pointers,4750
asp.net-web-api,4744
curl,4735
svg,4614
flask,4584
tkinter,4566
mongoose,4546
web,4463
jpa,4462
android-recyclerview,4448
recursion,4442
parsing,4345
templates,4317
web-services,4259
visual-studio-2015,4247
oop,4245
matrix,4203
amazon-ec2,4187
plot,4172
web-scraping,4163
keras,4144
unix,4125
woocommerce,4105
variables,4085
generics,4048
jsp,4045
perl,4005
animation,3981
.net-core,3932
tomcat,3916
google-apps-script,3893
heroku,3882
session,3865
testing,3803
user-interface,3745
debugging,3743
security,3726
deep-learning,3687
react-redux,3672
join,3663
lambda,3655
redirect,3643
visual-studio-code,3586
arraylist,3572
xpath,3539
java-8,3519
assembly,3519
logging,3515
post,3514
image-processing,3498
flexbox,3492
xamarin.android,3472
pyspark,3465
google-sheets,3429
canvas,3428
inheritance,3428
laravel-5.4,3426
shiny,3425
video,3406
awk,3393
multidimensional-array,3381
encryption,3375
dplyr,3355
gcc,3352
excel-formula,3342
vector,3333
neural-network,3332
mysqli,3317
stored-procedures,3301
promise,3274
hive,3266
server,3240
google-app-engine,3239
scikit-learn,3220
kubernetes,3208
groovy,3180
networking,3154
url,3147
iis,3145
caching,3144
math,3137
meteor,3122
firebase-authentication,3112
button,3106
jdbc,3103
checkbox,3093
random,3091
delphi,3089
apache-kafka,3066
rxjs,3053
ionic3,3026
google-cloud-platform,3024
xslt,3021
react-router,3014
ssh,2996
audio,2958
sql-server-2008,2957
django-models,2952
optimization,2942
cookies,2936
cmd,2923
select,2921
firefox,2920
charts,2909
beautifulsoup,2908
search,2892
yii2,2879
sed,2878
sass,2875
aws-lambda,2842
struct,2839
indexing,2836
model-view-controller,2828
docker-compose,2804
serialization,2780
dom,2762
input,2760
apache-spark-sql,2758
exception,2727
iframe,2713
twitter-bootstrap-3,2710
cmake,2677
ffmpeg,2652
razor,2650
filter,2648
junit,2646
neo4j,2623
datatables,2621
memory,2618
plsql,2605
websocket,2583
facebook-graph-api,2579
eloquent,2578
highcharts,2552
spring-security,2550
https,2540
mod-rewrite,2530
ruby-on-rails-5,2526
django-rest-framework,2515
reporting-services,2503
bootstrap-4,2502
opengl,2494
dependency-injection,2485
tfs,2461
graph,2446
angular-cli,2440
events,2435
laravel-5.3,2432
time,2430
while-loop,2423
foreach,2420
pdo,2419
data-structures,2410
text,2407
servlets,2406
mvvm,2400
android-intent,2378
jmeter,2377
winapi,2374
merge,2371
cassandra,2368
rust,2368
soap,2340
ansible,2338
google-maps-api-3,2330
xamarin.ios,2322
firebase-cloud-messaging,2319
